J리그 사커 프라임 골 (J.League Soccer - Prime Goal).smc	OK	56127	56.45	4.22	0	$00:820c	7e0101	12324
J리그 사커 프라임 골 2 (J.League Soccer - Prime Goal 2).smc	OK	52856	49.90	13.48	0	$00:8219	7e0101	12618
J리그 사커 프라임 골 3 (J.League Soccer - Prime Goal 3).smc	OK	55547	59.32	13.71	0	$00:81db	000107	11580
J리그 슈퍼 사커 '95 - 직쿄 스타디움 (J.League Super Soccer '95 - Jikkyou Stadium).smc	OK	57344	0.00	3.49	0	$c2:e083	002140	12844
J리그 슈퍼 사커 (J.League Super Soccer).smc	OK	57020	35.83	6.94	0	$80:88f3	000047	13608
J리그 엑사이트 스테이지 '94 (J.League Excite Stage '94).smc	OK	52815	2.04	0.37	0	$9c:8584	002140	11154
J리그 엑사이트 스테이지 '95 (J.League Excite Stage '95).smc	OK	57156	2.19	0.23	0	$9c:8584	002140	12060
J리그 엑사이트 스테이지 '96 (J.League Excite Stage '96).smc	OK	4160	2.07	0.23	0	$9c:859c	002140	11137
K.H. 루메니게의 플레이어 매니저 - 20주 체험판.smc	OK	534	97.21	0.00	0	$07:8543	000083	15419
Lethal Enforcers (U).smc	OK	37577	1.69	0.00	0	$80:813d	000055	13545
M.A.C.S. 베이직 라이플 시뮬레이터.smc	BOOT_CRASH	-	-	-	-	-	-	
MLBPA 베이스볼 (MLBPA Baseball).smc	BOOT_CRASH	-	-	-	-	-	-	
Mega Man X 2 (U) [!].smc	BOOT_CRASH	-	-	-	-	-	-	
Mega Man X 3 (U) [!].smc	BOOT_CRASH	-	-	-	-	-	-	
Mega Man's Soccer (U) [!].smc	UNRENDERED	0	44.72	13.36	0	$80:8c42	00003d	13108
Mighty Morphin Power Rangers (U).smc	OK	40188	76.57	8.44	0	$00:838e	000002	14490
NBA 기브 앤 고 (NBA Give 'n Go).smc	BOOT_CRASH	-	-	-	-	-	-	
NBA 라이브 95 (NBA Live 95).smc	OK	16544	74.97	5.49	0	$80:86ba	800565	12013
NBA 쇼다운 (NBA Showdown).smc	BOOT_CRASH	-	-	-	-	-	-	
NBA 실황 바스켓 위닝 덩크 (NBA Jikkyou Basket - Winning Dunk).smc	BOOT_CRASH	-	-	-	-	-	-	
